time,latitude,longitude,sic
UTC,degrees_north,degrees_east,1
2022-09-16T12:00:00Z,88.5,21.5,0.94
2022-09-16T12:00:00Z,88.5,22.5,0.93
2022-09-16T12:00:00Z,88.5,23.5,0.94
2022-09-16T12:00:00Z,88.5,24.5,0.94
2022-09-16T12:00:00Z,88.5,25.5,0.94
2022-09-16T12:00:00Z,88.5,26.5,0.94
2022-09-16T12:00:00Z,88.5,27.5,0.94
2022-09-16T12:00:00Z,88.5,28.5,0.94
2022-09-16T12:00:00Z,88.5,29.5,0.94
2022-09-16T12:00:00Z,88.5,30.5,0.94
2022-09-16T12:00:00Z,88.5,31.5,0.94
2022-09-16T12:00:00Z,88.5,32.5,0.93
2022-09-16T12:00:00Z,88.5,33.5,0.93
2022-09-16T12:00:00Z,88.5,34.5,0.93
2022-09-16T12:00:00Z,88.5,35.5,0.94
2022-09-16T12:00:00Z,88.5,36.5,0.94
2022-09-16T12:00:00Z,88.5,37.5,0.94
2022-09-16T12:00:00Z,88.5,38.5,0.94
2022-09-16T12:00:00Z,88.5,39.5,0.93
2022-09-16T12:00:00Z,88.5,40.5,0.94
2022-09-16T12:00:00Z,88.5,41.5,0.94
2022-09-16T12:00:00Z,88.5,42.5,0.94
2022-09-16T12:00:00Z,88.5,43.5,0.93
2022-09-16T12:00:00Z,88.5,44.5,0.93
2022-09-16T12:00:00Z,88.5,45.5,0.93
2022-09-16T12:00:00Z,88.5,46.5,0.93
2022-09-16T12:00:00Z,88.5,47.5,0.94
2022-09-16T12:00:00Z,88.5,48.5,0.94
2022-09-16T12:00:00Z,88.5,49.5,0.94
2022-09-16T12:00:00Z,88.5,50.5,0.94
2022-09-16T12:00:00Z,88.5,51.5,0.94
2022-09-16T12:00:00Z,88.5,52.5,0.94
2022-09-16T12:00:00Z,88.5,53.5,0.95
2022-09-16T12:00:00Z,88.5,54.5,0.95
2022-09-16T12:00:00Z,88.5,55.5,0.94
2022-09-16T12:00:00Z,88.5,56.5,0.94
2022-09-16T12:00:00Z,88.5,57.5,0.94
2022-09-16T12:00:00Z,88.5,58.5,0.94
2022-09-16T12:00:00Z,88.5,59.5,0.94
2022-09-16T12:00:00Z,88.5,60.5,0.95
2022-09-16T12:00:00Z,88.5,61.5,0.93
2022-09-16T12:00:00Z,88.5,62.5,0.94
2022-09-16T12:00:00Z,88.5,63.5,0.94
2022-09-16T12:00:00Z,88.5,64.5,0.94
2022-09-16T12:00:00Z,88.5,65.5,0.94
2022-09-16T12:00:00Z,88.5,66.5,0.94
2022-09-16T12:00:00Z,88.5,67.5,0.94
2022-09-16T12:00:00Z,88.5,68.5,0.95
2022-09-16T12:00:00Z,88.5,69.5,0.94
2022-09-16T12:00:00Z,88.5,70.5,0.94
2022-09-16T12:00:00Z,88.5,71.5,0.94
2022-09-16T12:00:00Z,88.5,72.5,0.94
2022-09-16T12:00:00Z,88.5,73.5,0.94
2022-09-16T12:00:00Z,88.5,74.5,0.94
2022-09-16T12:00:00Z,88.5,75.5,0.94
2022-09-16T12:00:00Z,88.5,76.5,0.95
2022-09-16T12:00:00Z,88.5,77.5,0.94
2022-09-16T12:00:00Z,88.5,78.5,0.95
2022-09-16T12:00:00Z,88.5,79.5,0.95
2022-09-16T12:00:00Z,88.5,80.5,0.94
2022-09-16T12:00:00Z,88.5,81.5,0.95
2022-09-16T12:00:00Z,88.5,82.5,0.95
2022-09-16T12:00:00Z,88.5,83.5,0.96
2022-09-16T12:00:00Z,88.5,84.5,0.94
2022-09-16T12:00:00Z,88.5,85.5,0.94
2022-09-16T12:00:00Z,88.5,86.5,0.94
2022-09-16T12:00:00Z,88.5,87.5,0.94
2022-09-16T12:00:00Z,88.5,88.5,0.94
2022-09-16T12:00:00Z,88.5,89.5,0.94
2022-09-16T12:00:00Z,88.5,90.5,0.94
2022-09-16T12:00:00Z,88.5,91.5,0.95
2022-09-16T12:00:00Z,88.5,92.5,0.96
2022-09-16T12:00:00Z,88.5,93.5,0.96
